forwarders;clients;processes;layout;spatiality;odirect;stonewall;request;total;operation;time;transfered;bandwidth
4;16;192;0;0;1;60;128;131072;write;56.75919;131064.0;2309.12396
1;32;384;1;1;1;60;1024;131072;write;60.77617;5243.0;86.26736
2;32;768;1;0;1;60;128;131072;write;60.24108;12392.625;205.71719
4;8;96;1;1;1;60;6144;131072;write;64.83536;5682.0;87.63736
4;16;768;0;0;1;60;8192;131072;write;33.3534;129024.0;3868.39076
4;32;384;1;0;1;60;6144;131072;write;74.19961;11694.0;157.6019
8;16;768;0;0;1;60;4096;131072;write;29.13401;129024.0;4428.63906
2;16;768;1;0;1;60;32;131072;write;60.09631;9028.53125;150.23438
1;16;768;1;0;1;60;4096;131072;write;70.65256;9232.0;130.6676
8;8;192;1;0;1;60;4096;131072;write;66.4311;7196.0;108.32276
4;32;768;0;0;1;60;1024;131072;write;60.64801;58216.0;959.89966
2;32;768;1;0;1;60;6144;131072;write;97.15774;13464.0;138.57877
8;32;384;1;0;1;60;6144;131072;write;76.21856;8664.0;113.67309
4;16;384;1;1;1;60;128;131072;write;60.09637;17523.25;291.58583
2;16;768;0;0;1;60;32;131072;write;60.03222;21920.9375;365.15284
4;16;384;1;1;1;60;6144;131072;write;72.72129;8208.0;112.86929
4;32;1536;1;0;1;60;6144;131072;write;85.09296;13698.0;160.97689
2;16;192;1;0;1;60;8192;131072;write;65.86106;12904.0;195.92759
2;32;768;1;1;1;60;4096;131072;write;76.34228;12124.0;158.81109
1;8;96;0;0;1;60;1024;131072;write;60.24144;14986.0;248.76564
1;8;96;0;0;1;60;512;131072;write;60.15121;7204.5;119.77314
1;32;384;0;0;1;60;4096;131072;write;61.03724;35996.0;589.73832
4;8;96;0;0;1;60;4096;131072;write;50.60848;130944.0;2587.39256
8;32;1536;1;1;1;60;8192;131072;write;111.45747;23936.0;214.75457
8;8;384;1;0;1;60;6144;131072;write;75.11266;9132.0;121.57738
1;32;768;0;0;1;60;6144;131072;write;68.00819;27420.0;403.18671
1;8;192;0;0;1;60;128;131072;write;60.02904;38764.0;645.75409
1;32;1536;0;0;1;60;8192;131072;write;75.25584;48904.0;649.8366
1;32;384;1;1;1;60;512;131072;write;63.3405;2771.5;43.75557
8;32;768;1;1;1;60;32;131072;write;60.05019;11143.03125;185.56198
